location_name,location_id,travel_limit_start_date,travel_limit_end_date,stay_home_start_date,stay_home_end_date,educational_fac_start_date,educational_fac_end_date,any_gathering_restrict_start_date,any_gathering_restrict_end_date,any_business_start_date,any_business_end_date,all_non-ess_business_start_date,all_non-ess_business_end_date
Bremen,60381,,,2020-03-22,2020-05-14,2020-03-16,2020-05-25,2020-03-22,,2020-03-20,,2020-03-20,2020-04-20
British Columbia,43859,,,,,2020-03-17,2020-06-01,2020-03-16,,2020-03-20,,,
Bulgaria,45,2020-03-21,,2020-03-17,2020-05-03,2020-03-13,,2020-03-13,,2020-03-13,,2020-03-13,2020-05-06
Burkina Faso,201,,,,,2020-03-16,,2020-03-13,,,,,
Cabo Verde,203,,,,,2020-03-27,,2020-03-16,,2020-03-16,,,
Calabria,35512,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
California,527,,,2020-03-19,,2020-03-19,,2020-03-11,,2020-03-19,,2020-03-19,
Cameroon,202,,,,,2020-03-18,,2020-03-18,,,,,
Campania,35509,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
Campeche,4646,,,2020-06-22,,2020-03-18,,2020-03-19,,2020-03-30,,2020-03-30,
Canada,101,,,,,2020-03-23,,2020-03-23,,,,,
Canary Islands,60364,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
Cantabria,60359,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,2020-06-22,2020-03-15,2020-04-13
Castile and León,60367,,,2020-03-15,2020-05-25,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
Castilla-La Mancha,60360,,,2020-03-15,2020-05-18,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
Catalonia,60368,,,2020-03-15,2020-05-25,2020-03-14,,2020-03-11,,2020-03-12,2020-06-22,2020-03-15,2020-05-25
Ceará,4755,,,2020-05-05,,2020-03-16,,2020-03-16,,2020-03-20,,2020-03-20,2020-06-08
Central African Republic,169,,,,,2020-03-27,,2020-03-13,,2020-03-26,,,
Chad,204,,,,,2020-03-20,,2020-03-19,,2020-03-23,,,
Chhattisgarh,4846,2020-03-25,2020-05-28,2020-03-21,2020-06-01,2020-03-13,,2020-03-21,,2020-03-21,,2020-03-21,2020-05-18
Chiapas,4649,,,2020-06-22,,2020-03-22,,2020-03-15,,2020-03-23,,2020-03-30,
Chihuahua,4650,,,2020-06-22,,2020-03-23,,2020-03-25,,2020-03-24,,2020-03-24,
Chile,98,,,,,2020-03-16,,2020-03-16,,2020-03-21,,,
China,6,,,,,,,,,,,,
Chongqing,493,2020-02-08,2020-03-24,2020-02-08,2020-03-24,2020-02-08,2020-03-24,2020-02-08,2020-03-24,2020-02-08,2020-03-24,2020-02-08,2020-03-24
Coahuila,4647,,,2020-06-22,,2020-03-19,,2020-03-18,,2020-03-23,,2020-03-30,
Colima,4648,,,2020-06-22,,2020-03-16,,2020-03-16,,2020-03-18,,2020-03-18,
Colombia,125,2020-03-25,2020-06-15,2020-03-25,2020-06-15,2020-03-16,,2020-03-16,,2020-03-19,,2020-03-25,2020-04-27
Colorado,528,,,2020-03-26,2020-05-09,2020-03-23,,2020-03-19,,2020-03-17,,2020-03-26,2020-05-09
Community of Madrid,60361,,,2020-03-15,2020-05-25,2020-03-11,,2020-03-15,,2020-03-13,,2020-03-13,2020-04-13
Comoros,176,,,,,2020-03-20,,2020-03-16,,,,,
Congo,170,,,2020-03-31,2020-05-18,2020-03-19,,2020-03-19,,2020-03-19,,2020-03-31,2020-05-18
Connecticut,529,,,,,2020-03-17,,2020-03-12,,2020-03-16,,2020-03-23,2020-05-20
Costa Rica,126,2020-04-08,2020-04-13,2020-03-24,2020-05-01,2020-03-16,,2020-03-09,,2020-03-23,,,
Croatia,46,2020-03-23,2020-05-25,2020-03-17,2020-05-11,2020-03-16,2020-05-25,2020-03-09,,2020-03-19,,2020-03-19,2020-04-27
Cuba,109,2020-04-11,,,,2020-03-24,,2020-03-20,,2020-03-24,,,
Cyprus,77,,,2020-03-24,2020-05-04,2020-03-13,2020-05-21,2020-03-24,,2020-03-24,,2020-03-24,2020-05-04
Czechia,47,,,2020-03-16,2020-04-20,2020-03-10,,2020-03-10,,2020-03-10,,2020-03-14,2020-04-20
Côte d'Ivoire,205,,,,,2020-03-16,2020-07-31,2020-03-16,,2020-03-18,2020-07-31,,
Delaware,530,,,2020-03-24,2020-06-01,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-24,2020-05-08
Delhi,4849,2020-03-23,2020-04-26,2020-03-23,2020-06-01,2020-03-19,,2020-03-23,,2020-03-20,,2020-03-20,2020-04-26
Democratic Republic of the Congo,171,,,,,2020-03-19,,2020-03-19,,2020-03-19,,,
Denmark,78,,,,,2020-03-16,2020-09-10,2020-03-18,,2020-03-18,,,
District of Columbia,531,,,2020-03-30,2020-05-29,2020-03-16,,2020-03-13,,2020-03-16,,2020-03-25,2020-05-29
Distrito Federal,4756,,,,,2020-03-12,,2020-03-12,,2020-03-15,,2020-03-19,2020-05-27
Djibouti,177,,,2020-03-23,2020-05-17,2020-03-19,,2020-03-22,,2020-03-22,,2020-03-23,2020-05-17
Dominican Republic,111,2020-03-19,2020-04-13,,,2020-03-19,,2020-03-25,,2020-03-19,,2020-03-19,2020-05-20
Durango,4652,,,2020-04-19,,2020-03-22,,2020-04-02,,2020-03-29,,2020-03-30,
East Asia and Pacific,60898,,,,,,,,,,,,
Ecuador,122,2020-03-18,,2020-03-17,,2020-03-13,,2020-03-15,,2020-03-15,,2020-03-17,
Egypt,141,,,,,2020-03-15,,2020-03-09,,2020-03-24,,,
El Salvador,127,,,2020-03-11,2020-06-16,2020-03-11,,2020-03-11,,2020-03-14,,,
Emilia-Romagna,35502,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-01,,2020-03-07,,2020-03-07,2020-06-15,2020-03-11,2020-04-14
England,4749,,,2020-03-23,2020-06-01,2020-03-23,,2020-03-23,,2020-03-23,,2020-03-23,2020-06-01
Equatorial Guinea,172,,,2020-03-31,,2020-03-17,,2020-03-17,,2020-03-23,,2020-03-31,2020-06-15
Espírito Santo,4757,,,,,2020-03-16,,2020-03-17,,2020-03-17,,2020-03-20,
Estonia,58,,,,,2020-03-16,2020-05-15,2020-03-13,,2020-03-13,2020-07-01,,
Eswatini,197,,,2020-03-27,2020-06-05,2020-03-17,,2020-03-17,,2020-03-27,,2020-03-27,2020-04-15
Ethiopia,179,,,,,2020-03-16,,2020-03-16,,2020-03-20,,,
Europe and Central Asia,60899,,,,,,,,,,,,
Extremadura,60362,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
Finland,79,2020-03-25,2020-05-29,,,2020-03-18,,2020-03-12,,2020-03-18,2020-06-01,2020-04-04,2020-06-01
Florida,532,,,2020-04-03,2020-05-18,2020-03-17,,2020-04-03,2020-06-05,2020-03-17,2020-09-25,,
France,80,2020-03-17,2020-05-11,2020-03-18,2020-05-11,2020-03-13,2020-05-25,2020-03-04,,2020-03-15,,2020-03-15,2020-05-11
Friuli-Venezia Giulia,35501,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
Gabon,173,,,,,2020-03-13,,2020-03-13,,2020-03-13,,,
Galicia,60372,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,2020-06-22,2020-03-15,2020-04-13
Gambia,206,,,,,2020-03-18,,2020-03-18,,2020-03-18,,2020-03-27,2020-07-22
Georgia,35,2020-03-24,2020-04-27,,,2020-03-02,,2020-03-23,,2020-03-21,,2020-03-21,2020-04-27
Georgia,533,,,2020-04-03,,2020-03-18,,2020-03-24,,2020-03-24,,,
Germany,81,,,,,,,,,,,,
Ghana,207,,,,,2020-03-16,,2020-03-15,,2020-03-24,,,
Gilgit-Baltistan,53617,,,2020-03-24,2020-05-09,2020-03-13,,2020-03-24,,2020-03-24,,2020-03-24,2020-04-15
Global,1,,,,,,,,,,,,
Goa,4850,2020-03-25,2020-04-20,2020-03-23,2020-06-01,2020-03-15,,2020-03-23,,2020-03-15,,2020-03-15,2020-04-20
Goiás,4758,,,,,2020-03-18,,2020-03-13,,2020-03-17,,2020-03-20,2020-04-19
Greece,82,2020-03-23,,2020-03-23,2020-05-04,2020-03-11,2020-09-14,2020-03-08,,2020-03-12,,2020-03-22,2020-05-04
Guam,351,2020-04-11,2020-04-28,,,2020-03-17,,2020-03-16,,2020-03-20,,2020-03-20,2020-05-07
Guanajuato,4653,,,2020-06-22,,2020-03-16,,2020-03-24,,2020-03-23,,2020-03-30,
Guangdong,496,2020-02-06,2020-05-19,2020-02-06,2020-05-19,2020-02-06,2020-05-19,2020-02-06,2020-05-19,2020-02-06,2020-05-19,2020-02-06,2020-05-19
Guatemala,128,,,,,2020-03-16,,2020-03-16,,2020-03-17,,2020-03-17,
Guerrero,4654,,,2020-06-22,,2020-03-22,,2020-03-24,,2020-03-23,,2020-04-04,
Guinea,208,,,,,2020-03-26,2020-09-01,2020-03-26,,2020-03-26,,,
Guinea-Bissau,209,,,2020-03-28,,2020-03-17,,2020-03-15,,2020-03-15,,2020-04-03,
Gujarat,4851,2020-03-24,2020-05-18,2020-03-24,2020-06-01,2020-03-16,,2020-03-24,,2020-03-24,,2020-03-24,2020-04-24
Guyana,113,,,2020-05-04,,2020-03-16,,2020-04-02,,2020-04-02,,2020-05-04,
Hainan,499,2020-02-05,2020-02-25,2020-02-05,2020-02-25,2020-02-05,2020-02-25,2020-02-05,2020-02-25,2020-02-05,2020-02-25,2020-02-05,2020-02-25
Haiti,114,,,,,2020-03-20,2020-08-17,2020-03-20,,2020-03-20,,,
Hamburg,60382,,,2020-03-22,2020-05-04,2020-03-16,2020-07-01,2020-03-22,,2020-03-15,,,
Haryana,4852,2020-03-24,2020-05-16,2020-03-24,2020-06-01,2020-03-16,,2020-03-20,,2020-03-16,,2020-03-16,2020-04-20
Hawaii,534,,,2020-03-25,2020-06-10,2020-03-19,,2020-03-17,,2020-03-17,,2020-03-25,2020-05-01
Hebei,500,2020-02-07,2020-03-24,2020-02-07,2020-03-24,2020-02-07,2020-03-24,2020-02-07,2020-03-24,2020-02-07,2020-03-24,2020-02-07,2020-03-24
Heilongjiang,501,2020-02-06,2020-03-09,2020-02-06,2020-03-09,2020-02-06,2020-03-09,2020-02-06,2020-03-09,2020-02-06,2020-03-09,2020-02-06,2020-03-09
Hesse,60383,,,2020-03-22,2020-05-09,2020-03-16,,2020-03-22,,2020-03-15,,,
Hidalgo,4655,,,2020-06-22,,2020-03-22,,2020-03-24,,2020-03-29,,2020-03-30,
Himachal Pradesh,4853,2020-03-23,2020-04-20,2020-03-23,2020-06-01,2020-03-14,,2020-03-23,,2020-03-23,,2020-03-23,2020-04-20
Honduras,129,2020-03-16,,2020-03-19,,2020-03-13,,2020-03-14,,2020-03-16,,2020-03-16,
Hong Kong Special Administrative Region of China,354,,,,,,,,,,,,
Hubei,503,2020-02-10,2020-03-14,2020-02-10,2020-03-14,2020-02-10,2020-03-14,2020-02-10,2020-03-14,2020-02-10,2020-03-14,2020-02-10,2020-03-14
Hungary,48,,,2020-03-28,2020-05-18,2020-03-16,2020-09-01,2020-03-12,,2020-03-12,,2020-03-16,2020-05-18
Iceland,83,,,,,2020-03-16,2020-05-04,2020-03-16,,2020-03-24,2020-05-25,,
Idaho,535,,,2020-03-25,2020-05-01,2020-03-23,,2020-03-25,2020-05-01,2020-03-25,2020-06-13,2020-03-25,2020-05-01
Illinois,536,,,2020-03-21,2020-05-29,2020-03-17,,2020-03-13,,2020-03-16,,2020-03-21,2020-05-01
India,163,2020-03-25,,2020-03-25,2020-06-09,2020-03-25,,2020-03-25,,2020-03-16,,2020-03-25,2020-05-21
Indiana,537,,,2020-03-25,2020-05-18,2020-03-19,,2020-03-12,,2020-03-16,2020-09-26,2020-03-24,2020-05-18
Indonesia,11,,,,,2020-03-16,,2020-03-16,,,,,
Iowa,538,,,,,2020-04-04,,2020-03-17,2020-06-12,2020-03-17,,2020-03-17,2020-05-08
Iran (Islamic Republic of),142,2020-03-19,2020-04-09,,,2020-02-24,,2020-02-24,2020-05-26,2020-03-04,,,
Iraq,143,,,2020-03-17,2020-04-21,2020-02-27,,2020-02-25,,2020-02-27,,,
Ireland,84,,,2020-03-27,2020-05-18,2020-03-12,,2020-03-12,,2020-03-15,,2020-03-24,2020-05-18
Islamabad Capital Territory,53618,,,2020-03-21,2020-05-09,2020-03-13,,2020-03-21,,2020-03-21,,2020-03-21,2020-04-15
Israel,85,,,2020-03-25,2020-04-19,2020-03-12,2020-06-01,2020-03-04,,2020-03-15,,2020-03-25,2020-05-03
Italy,86,,,,,,,,,,,,
Jalisco,4656,,,2020-04-19,,2020-03-16,,2020-03-24,,2020-03-23,,2020-03-30,
Jamaica,115,,,,,2020-03-13,,2020-03-18,,2020-03-18,,,
Jammu & Kashmir and Ladakh,4854,2020-03-22,,2020-03-22,2020-06-09,2020-03-11,,2020-03-22,,2020-03-22,,2020-03-22,2020-05-17
Japan,67,,,,,2020-03-02,2020-06-02,,,,,,
Jharkhand,4855,2020-03-23,2020-05-19,2020-03-23,2020-06-01,2020-03-17,,2020-03-23,,2020-03-23,,2020-03-23,2020-04-20
Jordan,144,2020-03-18,2020-04-29,2020-03-21,2020-04-27,2020-03-15,,2020-03-14,,2020-03-14,2020-06-06,2020-03-18,2020-04-27
Kansas,539,,,2020-03-30,2020-05-04,2020-03-17,,2020-03-17,2020-05-22,2020-03-30,2020-06-08,,
Karnataka,4856,2020-03-24,2020-05-04,2020-03-24,2020-06-01,2020-03-13,,2020-03-24,,2020-03-13,,2020-03-13,2020-05-04
Kazakhstan,36,2020-03-16,2020-06-01,2020-03-28,2020-05-22,2020-03-16,,2020-03-28,,2020-03-16,,2020-03-16,2020-05-11
Kentucky,540,,,,,2020-03-20,,2020-03-19,,2020-03-16,2020-06-29,2020-03-26,2020-05-11
Kenya,180,,,,,2020-03-20,,2020-03-22,,2020-03-22,,,
Kerala,4857,2020-03-23,2020-05-19,2020-03-23,2020-06-01,2020-03-18,,2020-03-23,,2020-03-23,,2020-03-23,2020-04-20
Khyber Pakhtunkhwa,53619,,,2020-03-22,2020-05-09,2020-03-13,,2020-03-22,,2020-03-22,,2020-03-22,2020-04-15
Kuwait,145,2020-05-10,,2020-05-10,,2020-03-01,,2020-03-18,,2020-03-14,,2020-05-10,
Kyrgyzstan,37,,,,,2020-03-16,,2020-03-17,,2020-03-22,,2020-03-22,2020-05-01
La Rioja,60376,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
Latin America and Caribbean,103,,,,,,,,,,,,
Latvia,59,,,,,2020-03-12,,2020-03-13,,,,,
Lazio,35506,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
Lebanon,146,,,2020-03-15,2020-05-04,2020-03-03,,2020-03-15,,2020-03-15,,2020-03-15,2020-05-04
Liberia,210,,,,,2020-03-16,,2020-03-21,,2020-03-21,,2020-04-14,2020-05-22
Libya,147,,,,,2020-03-16,,2020-03-22,,2020-03-22,,,
Liguria,35496,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
Lithuania,60,,,2020-03-15,2020-04-29,2020-03-16,2020-09-01,2020-03-15,,2020-03-14,2020-06-16,2020-03-15,2020-04-15
Lombardia,35497,2020-03-08,2020-05-04,2020-03-08,2020-06-03,2020-03-01,,2020-02-22,,2020-02-22,2020-06-15,2020-03-08,2020-04-14
Louisiana,541,,,2020-03-23,2020-05-15,2020-03-16,,2020-03-13,2020-05-15,2020-03-17,,2020-03-22,2020-05-01
Lower Saxony,60384,,,2020-03-23,2020-05-11,2020-03-16,,2020-03-23,,2020-03-27,,2020-03-27,2020-04-20
Luxembourg,87,,,,,2020-03-16,,2020-03-13,,2020-03-18,2020-07-16,2020-03-18,2020-04-20
Madagascar,181,2020-03-21,,,,2020-03-20,,2020-03-20,,2020-03-20,,,
Madhya Pradesh,4859,2020-03-23,2020-06-01,2020-03-23,2020-06-01,2020-03-14,,2020-03-23,,2020-03-23,,2020-03-23,2020-05-19
Maharashtra,4860,2020-03-23,2020-06-05,2020-03-23,2020-06-03,2020-03-23,,2020-03-23,,2020-03-23,,2020-03-23,2020-04-24
Maine,542,,,2020-04-02,2020-05-31,2020-03-16,,2020-03-18,,2020-03-18,,2020-03-25,2020-05-01
Malawi,182,,,,,2020-03-23,,2020-03-23,,,,,
Malaysia,13,2020-03-18,2020-06-10,2020-03-18,2020-06-10,2020-03-18,,2020-03-13,,2020-03-18,,2020-03-18,2020-06-10
Maldives,14,,,2020-04-15,,2020-03-14,,2020-03-16,,2020-03-15,,,
Mali,211,,,,,2020-03-19,,2020-03-19,,2020-03-19,,,
Malta,88,,,,,2020-03-13,,2020-03-03,,2020-03-17,2020-07-01,2020-03-23,2020-05-22
Manipur,4861,2020-03-23,2020-05-04,2020-03-23,2020-06-01,2020-03-13,,2020-03-23,,2020-03-23,,2020-03-23,2020-04-21
Manitoba,43860,,,,,2020-03-23,,2020-03-20,,2020-03-20,,2020-04-01,2020-05-04
Maranhão,4759,,,,,2020-03-17,,2020-03-21,,2020-03-21,,2020-03-21,
Marche,35505,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-07,,2020-03-07,2020-06-15,2020-03-11,2020-04-14
Maryland,543,,,2020-03-30,2020-05-15,2020-03-16,,2020-03-16,2020-06-10,2020-03-16,,2020-03-23,2020-05-15
Massachusetts,544,,,,,2020-03-17,,2020-03-13,,2020-03-17,,2020-03-24,2020-05-18
Mato Grosso,4762,,,2020-03-31,,2020-03-23,,2020-03-16,,2020-03-26,,2020-03-26,2020-04-22
Mato Grosso do Sul,4761,,,,,2020-03-23,,2020-03-16,,,,,
Mauritania,212,2020-03-29,2020-07-10,,,2020-03-16,2020-09-01,2020-03-19,2020-09-05,2020-03-19,2020-07-07,,
Mauritius,183,2020-03-23,2020-05-30,2020-03-23,2020-05-30,2020-03-19,,2020-03-23,2020-06-12,2020-03-23,2020-06-15,2020-03-23,2020-06-12
Mecklenburg-Vorpommern,60385,,,2020-03-23,2020-05-07,2020-03-16,,2020-03-23,,2020-03-18,,2020-03-18,2020-04-20
Meghalaya,4862,2020-03-24,2020-05-11,2020-03-24,2020-06-08,2020-03-17,,2020-03-24,,2020-03-24,,2020-03-24,2020-04-24
Mexico,130,,,,,2020-03-23,,2020-03-24,,2020-04-04,,2020-04-04,
Mexico City,4651,,,2020-06-22,,2020-03-19,,2020-03-16,,2020-03-30,,2020-04-01,2020-06-01
Michigan,545,,,2020-03-24,2020-06-01,2020-03-16,,2020-03-13,,2020-03-16,,2020-03-23,2020-05-07
Michoacán de Ocampo,4658,,,2020-06-22,,2020-03-23,,2020-03-15,,2020-03-23,,2020-03-30,
Minas Gerais,4760,,,,,2020-03-20,,2020-03-22,,2020-03-22,,,
Minnesota,546,,,2020-03-28,2020-05-18,2020-03-18,,2020-03-28,,2020-03-17,2020-06-10,,
Mississippi,547,,,2020-04-03,2020-04-27,2020-03-19,,2020-03-24,,2020-03-24,2020-06-01,2020-04-03,2020-04-27
Missouri,548,,,2020-04-06,2020-05-15,2020-03-23,,2020-03-23,2020-05-04,2020-03-23,2020-06-16,,
Molise,35508,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
Montana,549,,,2020-03-26,2020-04-26,2020-03-15,,2020-03-24,2020-06-01,2020-03-20,2020-06-01,2020-03-26,2020-05-01
Montenegro,50,2020-03-17,2020-05-04,,,2020-03-16,,2020-03-13,,2020-03-18,,2020-03-18,2020-05-04
Morelos,4659,,,2020-06-22,,2020-03-17,,2020-03-20,,2020-03-23,,2020-03-30,
Morocco,148,2020-03-20,2020-06-25,2020-03-18,2020-06-25,2020-03-16,,2020-03-05,,2020-03-16,,2020-03-16,2020-06-25
Mozambique,184,,,,,2020-03-23,,2020-03-23,,2020-03-30,,,
Murcia,60366,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
Myanmar,15,2020-03-12,,,,2020-03-24,,2020-03-13,,2020-03-24,,,
México,4657,,,2020-04-02,,2020-03-22,,2020-03-24,,2020-03-23,,2020-04-02,
